ID Number,Year,House,Gender,Interested,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31
40,Sophomore,Leverett,Female,Men,D,A,E,B,B,C,E,B,B,B,C,A,E,B,A,D,B,A,E,B,D,D,D,B,B,E,D,A,A,A,D
41,Junior,Eliot,Female,Men,C,D,B,C,E,A,E,A,B,D,E,E,D,A,A,B,C,D,E,B,A,A,A,C,B,C,A,D,A,B,C
42,Sophomore,Quincy,Male,Women,C,D,C,D,D,E,C,B,D,D,E,C,E,D,A,D,C,E,C,E,C,B,E,E,D,E,B,D,D,A,D
43,Junior,Quincy,Female,Both,D,A,E,C,B,C,D,E,B,A,B,C,D,C,A,B,E,D,D,B,C,C,B,A,E,E,B,C,B,E,B
45,Freshman,Wigglesworth,Female,Men,D,B,E,D,A,C,D,A,B,B,D,A,E,C,B,B,B,A,D,B,B,D,E,C,A,E,A,B,B,E,C
46,Senior,Currier,Male,Women,C,B,A,D,E,C,D,B,B,A,B,E,D,D,C,B,B,B,A,E,A,C,E,C,B,E,D,D,D,B,D
47,Junior,Quincy,Female,Men,B,A,B,D,E,E,B,A,A,E,B,B,C,C,A,B,A,D,C,E,A,E,B,D,A,E,C,D,D,C,A
48,Freshman,Canaday,Male,Women,D,E,B,D,E,A,E,C,B,C,A,C,B,B,E,E,A,B,B,E,A,E,D,E,C,B,E,B,B,A,E
50,Junior,Quincy,Male,Women,D,A,B,E,E,E,D,E,B,A,C,B,B,B,E,B,B,A,D,E,D,D,E,E,A,B,C,D,A,A,D
51,Junior,Adams,Male,Women,D,C,B,B,B,B,D,B,B,B,D,E,D,D,E,A,D,C,C,E,D,C,D,E,B,E,B,D,D,B,B
52,Junior,Adams,Male,Women,C,C,B,C,D,E,D,D,B,B,B,C,B,C,E,B,B,A,B,B,C,D,B,C,D,E,E,B,E,A,C
53,Junior,Mather,Male,Women,D,B,D,D,C,E,A,E,D,C,D,B,B,C,E,B,C,C,A,B,C,C,B,E,A,A,E,B,E,D,E
54,Senior,Lowell,Male,Women,E,D,E,D,B,D,E,B,C,C,B,C,D,D,E,E,E,A,D,D,D,C,D,E,C,D,B,A,B,B,C
55,Sophomore,Leverett,Male,Women,D,E,A,D,C,C,E,B,C,E,B,E,D,D,E,D,A,B,E,B,D,C,D,B,B,A,D,D,B,C,D
56,Sophomore,Kirkland,Female,Both,E,E,B,D,D,E,B,E,E,C,D,E,B,C,C,D,B,B,C,B,E,E,A,A,A,B,E,D,C,A,C
57,Junior,Lowell,Female,Men,D,B,A,E,D,B,D,C,B,A,E,B,B,C,E,C,B,A,D,C,B,B,E,E,A,D,C,B,D,B,D
59,Junior,Dunster,Male,Women,C,E,C,E,C,C,E,D,C,A,B,A,B,B,C,E,C,E,C,E,D,A,E,E,B,D,D,D,A,D,B
60,Junior,Quincy,Female,Men,D,B,D,D,D,C,D,D,C,D,C,E,D,E,A,D,E,B,C,B,B,C,A,D,B,A,B,D,A,B,D
61,Senior,Dunster,Female,Men,E,E,E,C,B,E,E,C,C,D,E,D,B,A,E,A,B,E,E,D,C,E,E,A,E,E,D,B,E,E,B
62,Senior,Adams,Male,Women,C,D,B,B,D,D,D,E,D,A,E,B,D,D,E,E,B,E,B,E,B,B,A,D,A,C,C,D,C,A,C
63,Sophomore,Quincy,Female,Men,C,B,B,D,E,A,B,A,A,B,A,A,B,C,D,D,D,A,A,C,A,A,E,E,A,C,C,D,D,B,B
64,Sophomore,Kirkland,Male,Women,C,B,C,E,D,C,B,D,B,A,B,A,B,B,B,E,E,A,B,C,B,E,A,B,C,A,E,B,D,C,A
65,Junior,Lowell,Male,Men,C,A,C,A,D,A,B,B,B,D,E,B,E,C,D,A,B,E,D,E,D,D,A,D,D,C,B,A,A,B,D
66,Sophomore,Pforzheimer,Male,Men,D,A,E,D,A,B,B,D,B,B,D,B,E,E,E,E,E,B,E,D,C,C,E,B,C,A,A,A,E,E,D
67,Sophomore,Kirkland,Female,Men,C,C,C,D,D,A,D,C,C,D,B,E,D,E,C,C,D,E,A,C,C,A,E,E,C,A,E,E,A,B,C
68,Freshman,Holworthy,Male,Women,C,E,D,D,E,D,B,E,E,A,A,E,D,D,E,C,D,E,D,C,D,B,B,E,C,B,E,B,B,A,E
69,Sophomore,Kirkland,Female,Men,C,D,E,C,D,A,D,D,E,D,C,A,B,E,E,E,D,D,C,E,D,E,A,E,A,A,E,B,A,A,A
70,Sophomore,Leverett,Female,Men,C,B,B,D,A,B,B,E,C,D,E,B,A,E,D,B,A,D,C,B,C,A,B,B,A,D,B,D,C,A,D
71,Junior,Currier,Female,Both,D,C,A,D,C,D,D,D,A,C,A,C,B,B,D,E,D,B,D,E,D,B,B,A,C,D,A,D,A,A,D
72,Junior,Kirkland,Female,Men,C,B,D,E,D,E,E,B,E,D,B,B,E,C,B,C,B,A,E,E,E,E,E,D,C,A,B,A,D,B,A
73,Junior,Lowell,Male,Women,A,A,B,B,C,D,B,D,C,A,B,E,D,A,E,D,B,A,C,A,E,E,E,B,B,A,B,A,B,A,C
74,Sophomore,Mather,Male,Women,B,E,C,A,C,B,D,B,A,B,D,C,E,B,E,B,A,B,C,B,D,C,E,B,D,B,B,C,A,A,B
75,Senior,Currier,Female,Men,D,A,D,D,B,C,D,A,C,D,C,C,D,D,B,B,E,D,B,B,D,B,A,C,A,A,C,A,A,B,B
76,Senior,Lowell,Female,Men,C,B,E,B,B,B,A,D,D,A,B,B,A,A,B,C,E,D,E,A,C,D,A,E,E,A,C,A,B,D,B
77,Junior,Quincy,Female,Men,A,B,B,B,E,D,B,A,E,C,E,C,D,B,D,D,C,D,C,E,E,E,B,E,E,B,E,D,A,A,B
78,Sophomore,Currier,Female,Men,D,E,A,B,E,B,A,A,B,C,C,D,E,C,E,D,C,E,D,C,A,D,A,E,B,E,D,D,D,A,D
79,Senior,Cabot,Male,Men,E,E,B,D,A,E,A,B,D,E,D,E,D,B,C,B,C,A,E,A,A,B,C,D,E,B,E,D,A,B,C
80,Junior,Mather,Female,Men,E,B,B,E,C,C,B,B,B,A,A,C,B,C,D,B,C,A,E,E,A,B,A,B,B,A,B,A,C,A,E
82,Junior,Mather,Female,Men,D,B,B,B,C,C,D,B,D,B,C,E,B,C,B,B,A,A,D,D,E,D,B,B,A,E,D,E,A,B,B
83,Sophomore,Adams,Male,Men,D,C,A,C,A,B,A,E,E,E,C,B,E,B,D,D,D,C,D,E,D,C,A,A,A,D,B,A,B,A,B
85,Freshman,Weld,Female,Men,D,D,E,B,B,B,D,B,B,D,D,B,E,C,E,B,D,A,D,C,D,E,D,D,C,B,B,B,B,B,A
86,Senior,Eliot,Male,Women,E,E,B,A,D,D,B,C,B,E,C,B,E,A,A,D,A,C,D,B,A,C,E,B,B,D,B,D,A,A,D
87,Senior,Eliot,Female,Men,B,D,E,C,E,E,B,D,E,B,C,C,E,A,A,E,A,A,A,B,B,C,E,A,C,B,D,C,A,C,C
88,Senior,Eliot,Female,Men,E,A,E,D,D,C,D,D,C,C,A,A,B,C,E,E,E,B,A,C,A,D,B,B,A,B,B,B,C,E,C
89,Sophomore,Cabot,Female,Men,B,B,E,C,B,A,B,E,E,B,C,B,D,D,C,B,D,E,E,E,C,A,E,B,D,B,B,E,B,D,B
90,Sophomore,Cabot,Female,Both,C,A,C,B,A,A,E,D,E,C,E,B,E,C,A,D,E,B,C,A,E,D,E,E,A,E,E,D,C,A,D
91,Junior,Quincy,Female,Men,C,A,D,B,C,D,D,A,B,E,B,B,D,C,E,E,C,E,C,E,D,C,D,E,B,E,D,D,D,A,D
92,Sophomore,Cabot,Female,Men,D,C,A,E,B,E,B,D,D,A,C,A,E,C,E,B,E,C,C,C,A,C,A,A,A,B,A,E,A,B,D
93,Freshman,Greenough,Female,Men,C,E,C,E,A,B,E,B,E,C,B,D,C,D,E,B,D,B,C,E,E,E,A,E,D,B,D,B,B,B,B
94,Junior,Eliot,Female,Women,C,E,B,D,D,C,B,D,B,A,D,B,A,E,B,B,D,E,C,C,A,D,A,E,C,E,A,B,B,A,D
95,Senior,Eliot,Male,Women,D,E,A,B,A,A,B,C,B,A,B,B,D,C,E,E,D,B,C,E,C,C,E,E,B,E,D,B,B,B,C
96,Senior,Eliot,Female,Both,C,E,E,A,B,B,D,A,E,D,C,A,E,C,E,D,B,C,C,B,C,E,A,E,C,E,A,D,B,A,C
97,Senior,Eliot,Female,Men,C,A,C,D,D,D,B,D,E,D,A,A,B,A,E,A,A,D,C,C,D,B,D,C,A,B,B,B,D,B,B
98,Sophomore,Mather,Male,Both,C,B,D,A,A,D,C,A,B,D,B,D,B,C,E,B,D,A,B,D,B,D,C,B,A,E,B,D,D,A,C
99,Sophomore,Cabot,Male,Women,E,C,D,D,D,B,A,B,B,A,B,E,E,B,D,B,D,A,D,E,C,B,E,A,B,A,D,C,D,E,D
100,Sophomore,Pforzheimer,Female,Men,D,E,E,C,D,A,D,B,E,E,E,B,D,E,D,E,A,B,C,E,B,D,A,E,A,E,C,D,C,B,D
101,Sophomore,Eliot,Female,Men,D,A,B,C,D,A,E,A,B,A,C,A,A,C,B,B,B,A,C,E,D,A,A,E,C,C,A,D,A,D,D
102,Sophomore,Eliot,Male,Women,D,B,B,E,A,C,C,A,C,A,B,D,B,C,B,B,E,B,D,D,A,D,A,B,B,A,B,A,C,D,A
103,Sophomore,Mather,Female,Men,C,C,D,E,E,C,D,D,B,E,E,E,D,D,E,D,D,C,E,C,A,B,E,B,D,C,B,B,C,B,D
104,Senior,Mather,Male,Women,E,C,C,C,C,D,A,E,B,C,C,C,D,E,E,B,D,D,E,C,D,C,A,B,C,B,A,C,B,B,C
105,Junior,Eliot,Male,Men,E,E,A,D,C,D,D,B,B,A,E,C,D,C,E,B,B,A,D,B,C,D,B,E,B,A,D,D,D,A,C
